Kode,Kategori,Jumlah Penjual,Rating,Jumlah Review,Harga
KFB08H9M7LDY,Video Games,,4.9,"16,236",819617.25
KF805047905,Books,1 yg jual,4.9,,IDR 71896.25
KFB086DKSHQ4,Electronics,,4.4,"54,100",3594668.7075 rupiah
KFB0795GHTBC,Video Games,3 yg jual,4.8,"28,086",
KFB07XP1619N,Camera & Photo,3 penjual,4.3,,675680.9575 Rupiah
KFB009CAPYR8,Toys & Games,2 Penjual,4.8,"14,213",
KFB08F2NKCTZ,"Clothing, Shoes & Jewelry",5 yg jual,,"49,613",IDR 215401.165
KFB01LZNGPY3,Video Games,1 penjual,4.7,"67,727",
KFB07GTDRNKD,Toys & Games,4 Penjual,,"24,685",128981.87250000001 rupiah
KF1501128035,Books,,4.5,"7,982",121504.66249999999 rupiah
KFB00000DMF5,Toys & Games,,4.6,"22,001",IDR 186786.4575
KF1338233580,Books,1 yg jual,4.8,,41412.24 Rupiah
KF62060627,Books,1 Penjual,4.7,,148825.2375
KFB00000IV35,Toys & Games,54 penjual,,"15,592",129269.4575 rupiah
KFB071FLSWBS,,6 penjual,4.6,"45,035",99073.0325 Rupiah
KFB0848Q2226,,1 penjual,4.6,"25,674",IDR 359337.45749999996
KFB07P6MZPK3,Toys & Games,9 penjual,4.9,,IDR 143648.7075
KFB00YTWEMUO,Toys & Games,,4.8,"2,320",503129.9575
KFB084J4KNDS,Electronics,1 penjual,4.7,"267,821",
KF080241270X,Books,1 Penjual,4.8,,109138.50749999999 rupiah
KFB07X1YLC2L,Camera & Photo,,3.9,"2,193",416854.45749999996 Rupiah
KFB06WD843ZM,Camera & Photo,6 Penjual,4.2,,IDR 330578.95749999996
KFB094H9X2VV,Toys & Games,1 penjual,,"6,156",172407.2075 Rupiah
KFB07TC8J6HK,Video Games,11 penjual,,"16,558",474371.4575
KFB07ZSB9QYL,,1 yg jual,4.9,"12,187",IDR 359481.25
KFB07Y93TM8M,Gift Cards,,4.9,"74,543",143792.5 Rupiah
KFB06WVJBLBQ,Gift Cards,1 Penjual,4.9,,IDR 143792.5
KFB08CNG9Y52,,5 Penjual,4.7,"41,926",359337.45749999996 Rupiah
KFB07MB4HN9X,Gift Cards,1 Penjual,4.8,,718962.5 rupiah
KFB08F6GPQQ7,Electronics,1 yg jual,4.5,179,
KFB00000IVAK,Toys & Games,56 Penjual,,"17,829",IDR 176720.98249999998
KFB08V5HLHN3,,2 yg jual,4.7,965,862611.2075
KFB095NWYQBC,Electronics,1 Penjual,5.0,,IDR 143504.915
KF593139135,Books,1 penjual,,"40,324",243728.28749999998
KFB07DVFQ1SV,Video Games,,4.7,"4,573",IDR 244303.4575
KFB01CW4AZDS,Camera & Photo,2 penjual,4.3,,690060.2075 Rupiah
KFB08F3CVP38,Camera & Photo,4 penjual,,874,1150196.2075 rupiah
KFB07H4YQF3Q,Toys & Games,1 Penjual,,"31,328",IDR 215688.75
KFB07F7T8J9P,Video Games,19 Penjual,4.7,"26,056",
KF761187480,Books,,4.8,"19,747",178877.87
KFB08DFB488B,Video Games,42 penjual,4.7,,848375.75
KFB08DXXS6Q7,,1 yg jual,4.8,"22,185",359481.25 Rupiah
KFB086DKMSSM,Electronics,1 penjual,4.4,,1293988.7075 Rupiah
KFB097ZMX6ZC,,1 penjual,4.4,"11,092",12653.74
KFB08GH9KL4M,,10 Penjual,4.5,"3,662",359337.45749999996 rupiah
KFB007DW6F34,Toys & Games,10 yg jual,4.6,"8,795",
KFB08S34FZKM,"Clothing, Shoes & Jewelry",1 yg jual,4.4,"1,837",
KFB08BXHGPVB,Video Games,94 yg jual,,"7,596",186786.4575
KFB0885Y3J97,"Clothing, Shoes & Jewelry",,4.3,"8,231",IDR 402475.20749999996
KFB07GPFDL1K,Electronics,4 yg jual,4.5,,244303.4575 Rupiah
KFB08FC5L3RG,Video Games,1 Penjual,,"19,869",172551.0
KFB004DNVP8G,,2 penjual,4.6,"44,546",IDR 172694.7925
KFB085WSCTS4,Electronics,,4.5,"3,695",IDR 4011810.75
KFB08XW4QX52,"Clothing, Shoes & Jewelry",1 Penjual,4.6,"9,106",
KFB07B8XTS3Z,Camera & Photo,,4.4,"5,159",1768503.9575
KFB071WNWHZ7,Video Games,1 yg jual,4.7,"41,676",
KFB07TGNFVWV,Video Games,1 penjual,4.8,"15,661",
KFB07JCJMPVN,"Clothing, Shoes & Jewelry",2 penjual,4.6,,208067.7475 rupiah
KFB086QXHQ77,Camera & Photo,3 Penjual,,"9,810",373716.70749999996
KFB086V5H1YQ,,6 Penjual,4.5,"6,646",761956.4575 rupiah
KFB017V6YVDC,Video Games,1 penjual,4.7,,143648.7075 rupiah
KFB092RXFP4F,Camera & Photo,1 yg jual,,212,660438.9525
KFB00DOMYL24,Electronics,,4.8,"44,320",IDR 183335.4375
KFB0856W45VL,Camera & Photo,4 penjual,,"5,203",747577.2075 rupiah
KFB009CTUHOY,"Clothing, Shoes & Jewelry",2 penjual,4.5,"23,788",
KFB07X1QPRYQ,"Clothing, Shoes & Jewelry",4 yg jual,4.4,22,
KFB00GFIV5YQ,"Clothing, Shoes & Jewelry",,4.6,"5,413",IDR 134733.57249999998
KFB00TS733CS,"Clothing, Shoes & Jewelry",,4.8,"23,152",790139.7875000001 Rupiah
KFB07PHLG4C2,Camera & Photo,7 yg jual,,"5,070",661301.7075 rupiah
KFB01N6YAVNM,"Clothing, Shoes & Jewelry",,4.7,"117,129",186786.4575 Rupiah
KFB08YSYKBLV,Electronics,1 penjual,,"78,639",862611.2075 Rupiah
KFB000HTILV4,,2 penjual,4.6,"58,537",416566.8725 rupiah
KFB07Q1GHB5X,Camera & Photo,3 penjual,,"11,314",357611.9475 rupiah
KFB07DK13HKX,Video Games,,4.8,"5,875",IDR 690060.2075
KFB07PHCWJ9W,Toys & Games,1 Penjual,,"9,296",IDR 158027.9575
KFB08PFDP55G,Camera & Photo,,4.6,241,431233.70749999996 Rupiah
KFB07P76HM3B,Gift Cards,1 Penjual,4.8,,718962.5 rupiah
KFB015IY34FA,Electronics,19 yg jual,4.8,"38,743",
KFB09197N995,Toys & Games,1 Penjual,4.8,,129269.4575 Rupiah
KFB07CXG6C9W,Electronics,1 Penjual,4.6,"110,685",
KFB08N5LNQCX,Electronics,5 yg jual,4.8,"6,599",
KFB0872DGGBX,,3 penjual,4.7,"12,329",218277.01499999998 rupiah
KFB0868LH58W,Camera & Photo,3 penjual,4.5,"2,317",
KFB01N1037CV,Video Games,49 Penjual,4.9,,718099.745 rupiah
KFB07GB2T125,Camera & Photo,5 Penjual,3.4,"3,841",
KF1791392792,Books,,4.6,"23,858",IDR 172694.7925
KFB00ABA0ZOA,,83 yg jual,4.8,"51,496",122079.8325
KFB07TGNFVWV,Video Games,1 yg jual,4.8,"15,661",
KFB07CLMP15H,,1 penjual,4.8,"721,690",718962.5 rupiah
KFB01IR5KOGE,,2 penjual,4.5,"50,292",IDR 418867.5525
KFB00NLZUM36,Video Games,,4.6,"28,843",431233.70749999996 rupiah
KFB094WN6SY2,,7 Penjual,4.8,"25,811",1078299.9575 rupiah
KFB00F4CEHNK,Video Games,1 Penjual,4.7,"117,579",
KFB07SFKTLZM,Video Games,95 Penjual,4.4,"20,316",
KFB086DKSYTS,,1 penjual,4.4,"54,100",IDR 1437781.2075
KFB07TMJ1R3X,Electronics,,4.6,"100,278",IDR 1293988.7075
KFB07H4YQF3Q,,1 Penjual,4.8,"31,328",IDR 215688.75
KFB07GYXYWQF,Camera & Photo,,4.1,"3,793",IDR 1006403.7074999999
KFB083HZTN8W,Camera & Photo,,3.9,"6,306",431233.70749999996 Rupiah
KFB078GZM4H8,Video Games,56 yg jual,4.8,,57373.207500000004
KFB08R5LZYDW,Camera & Photo,,3.3,39,287441.20749999996 Rupiah
KFB07Q7YR68X,"Clothing, Shoes & Jewelry",,4.6,"10,022",143648.7075 rupiah
KFB07WYVVY2Z,Gift Cards,1 yg jual,4.8,,718962.5
KFB071WNWHZ7,Video Games,1 Penjual,4.7,,201165.7075 rupiah
KFB078WMVBXD,Camera & Photo,1 penjual,4.3,,IDR 258682.7075
KFB00000IV35,Toys & Games,54 Penjual,4.9,,129269.4575
KFB00F4CEWOY,,1 penjual,4.7,"117,579",287585.0 rupiah
KFB08F6FYN6B,Electronics,1 yg jual,4.5,,IDR 2588121.2075
KFB089W4PKRW,Camera & Photo,,4.2,"3,150",359337.45749999996 Rupiah
KFB07DWYJMGQ,"Clothing, Shoes & Jewelry",,4.3,"12,639",201165.7075 rupiah
KFB08G9J44ZN,Video Games,,4.7,"4,170",IDR 5679659.9575000005
KFB0758L64L9,Electronics,1 yg jual,4.6,"23,741",
KFB07MRNVRRX,Gift Cards,,4.8,"721,690",718962.5 Rupiah
KFB07DVFQ1SV,Video Games,1 Penjual,,"4,573",244303.4575 Rupiah
KFB01C5A2WJO,Toys & Games,12 penjual,,"26,961",503129.9575
KFB007DW6F34,Toys & Games,10 penjual,4.6,"8,795",
KFB07GB2T125,Camera & Photo,5 Penjual,3.4,,574882.4149999999
KFB01I21GQH4,"Clothing, Shoes & Jewelry",23 yg jual,4.4,,99216.82500000001
KFB0872FYTWS,,1 penjual,4.7,"17,175",2300536.2075 rupiah
KFB08F6L6HVP,Electronics,1 Penjual,4.5,"1,228",
KFB083SG6BDQ,"Clothing, Shoes & Jewelry",1 yg jual,4.6,,229924.2075
KFB07F15CV12,Video Games,1 yg jual,,"32,411",287441.20749999996 rupiah
KFB071FXZBMV,Electronics,2 yg jual,4.5,,114746.41500000001
KFB01BX4G6FY,,19 yg jual,4.8,"14,866",318931.765
KFB07MWPMZXN,Toys & Games,,4.7,"17,061",166655.5075
KFB08PV15RGG,,2 penjual,4.4,"5,629",503129.9575 Rupiah
KFB08FC5TTBF,Video Games,,4.8,"3,470",718099.745
KFB07ZD22HKW,,1 yg jual,4.3,"4,943",IDR 373285.33
KFB0885Y3J97,"Clothing, Shoes & Jewelry",1 Penjual,,"8,231",402475.20749999996 Rupiah
KF671027034,Books,1 penjual,,"52,140",195845.38499999998
KF358423880,,1 penjual,4.5,128,295781.1725
KFB07PTSZ43T,Toys & Games,,4.4,"21,603",114890.2075 Rupiah
KF080241270X,Books,,4.8,"51,940",109138.50749999999 rupiah
KF1501161938,Books,1 Penjual,4.6,,135452.535
KFB07MYTBV6N,Toys & Games,,4.6,"28,681",IDR 330578.95749999996
KFB079RKX5ZL,,12 Penjual,4.8,"21,383",186786.4575
KFB078GZM4H8,Video Games,56 Penjual,4.8,"66,505",
KFB095GD5SQM,Books,1 penjual,4.9,,388095.95749999996 rupiah
KFB089NLB7BH,"Clothing, Shoes & Jewelry",1 Penjual,4.4,"12,655",
KFB08XN821N5,,1 yg jual,4.8,"18,647",IDR 143504.915
KFB07LFWD71T,Camera & Photo,,4.4,"2,939",790139.7875000001 rupiah
KFB07PM2NBGT,Camera & Photo,5 yg jual,4.1,"12,342",
KFB07LF27WBQ,"Clothing, Shoes & Jewelry",1 Penjual,4.3,"53,435",
KF345816021,Books,,4.7,"39,501",215544.9575 rupiah
KF1984806750,Books,1 penjual,,"4,596",143792.5 Rupiah
KFB07TGNFVWV,Video Games,1 penjual,4.8,,431233.70749999996 Rupiah
KFB07VTK654B,Electronics,1 Penjual,4.0,"116,633",
KFB085H738HS,"Clothing, Shoes & Jewelry",,4.7,"38,791",IDR 186642.665
KFB08KHCR1YF,Camera & Photo,5 Penjual,4.5,"2,524",
KFB01BX4G6FY,Toys & Games,19 penjual,4.8,,318931.765 rupiah
KFB01IXYY172,Toys & Games,,4.7,"2,918",186786.4575
KFB07PVMRZQH,Camera & Photo,7 penjual,4.3,,603784.7075 rupiah
KFB07CCGBB7M,Electronics,,4.7,"34,176",287153.6225 rupiah
KFB07LF27WBQ,"Clothing, Shoes & Jewelry",1 Penjual,4.3,,IDR 287441.20749999996
KFB08ZN7QCRP,,1 Penjual,4.4,"54,100",6686063.665
KFB07GTDRNKD,,4 yg jual,4.8,"24,685",128981.87250000001 rupiah
KFB07QKXM2D3,Camera & Photo,4 yg jual,4.4,,431233.70749999996 Rupiah
KFB071WLRPXT,,2 yg jual,4.9,"17,965",240133.47499999998
KFB016MAK38U,Video Games,,4.4,"25,909",IDR 431233.70749999996
KF593139135,Books,1 Penjual,4.7,,243728.28749999998
KFB086KXKXKW,"Clothing, Shoes & Jewelry",,4.6,"29,802",243728.28749999998 rupiah
KFB07YB8HZ8T,Camera & Photo,,4.4,"3,003",IDR 575026.2075
KFB08PQ64VFJ,,1 yg jual,4.6,"3,098",459992.20749999996 rupiah
KFB012A7R7I8,Toys & Games,8 penjual,4.8,,IDR 344958.20749999996
KFB07MDR5TG9,Gift Cards,1 yg jual,4.8,"721,690",
KF593230256,Books,1 yg jual,4.8,,211374.97499999998
KFB07RZ74VLR,Video Games,,4.5,"70,218",143792.5
KFB077T9WSSN,Gift Cards,1 yg jual,4.9,,143792.5 Rupiah
KFB089D4BNRY,Video Games,2 penjual,4.7,,244303.4575 Rupiah
KFB01C9MW6MQ,,1 Penjual,4.9,"62,352",359481.25 Rupiah
KFB00AKSCZ2S,"Clothing, Shoes & Jewelry",4 penjual,,"33,644",IDR 172551.0
KF805047905,Books,1 yg jual,4.9,"31,056",
KF1611806860,,1 Penjual,5.0,3,193976.0825
KFB018HB2QFU,Toys & Games,16 penjual,,"28,041",IDR 158027.9575
KFB08ZN7QCRP,,1 Penjual,4.4,"54,100",IDR 6686063.665
KFB06XHFWJYM,Gift Cards,1 Penjual,4.8,"721,690",
KFB00TS733CS,"Clothing, Shoes & Jewelry",2 yg jual,4.8,,790139.7875000001
KFB00000IZJB,,56 yg jual,4.8,"22,385",215257.3725
KFB07MRNVRRX,Gift Cards,1 yg jual,4.8,"721,690",
KFB07XP1619N,Camera & Photo,3 Penjual,,422,IDR 675680.9575
KFB07VNTFHD5,,32 yg jual,4.8,"19,478",IDR 1854923.25
KFB07RMC5BRL,Video Games,41 penjual,,"15,971",575026.2075 rupiah
KFB07SXLYQ6S,,16 penjual,4.8,"13,958",186067.495
KFB01FXC7JWQ,,21 yg jual,4.6,"23,307",2371713.495
KFB00IX1I3G6,Gift Cards,1 penjual,,"313,938",718962.5
KFB07CV7NGSP,"Clothing, Shoes & Jewelry",1 Penjual,4.3,,IDR 244303.4575
KFB08G9J44ZN,Video Games,172 Penjual,4.7,"4,170",
KFB07SK4W1VJ,Video Games,,4.8,"22,066",690204.0 rupiah
KFB0866RXCBJ,Gift Cards,1 yg jual,4.9,"37,588",
KFB07SQZ3GJG,,1 yg jual,4.8,"16,122",86131.7075 rupiah
KFB08ZNQN1FP,Video Games,13 Penjual,,279,IDR 848375.75
KFB0721MB4L6,Toys & Games,,4.5,"10,521",IDR 283271.225
KFB01K8RL9C2,Gift Cards,1 penjual,4.9,"7,493",
KFB07MWPMZXN,Toys & Games,85 Penjual,,"17,061",166655.5075 Rupiah
KFB07DY9HLZ8,"Clothing, Shoes & Jewelry",1 yg jual,,"23,111",114890.2075
KF159285849X,Books,1 Penjual,,"21,552",100079.58 Rupiah
KFB08ZNQN1FP,Video Games,,4.6,279,848375.75 Rupiah
KFB016YKIBHS,"Clothing, Shoes & Jewelry",27 yg jual,,"29,598",75922.44
KF62457802,Books,1 Penjual,4.7,"13,745",
KFB08CVPYCPR,Camera & Photo,,4.2,"1,578",761956.4575 rupiah
KFB012A7R7I8,Toys & Games,8 Penjual,,"22,792",344958.20749999996 rupiah
KFB094Q7RNLV,Gift Cards,,4.8,"721,690",IDR 718962.5
KFB091N43KTX,Electronics,1 yg jual,4.7,,718818.7075
KFB07WGL828F,Electronics,1 Penjual,,"100,279",IDR 1293988.7075
KFB08DF248LD,Video Games,59 yg jual,4.7,,IDR 704583.25
KF525559477,Books,1 penjual,,"87,929",IDR 191100.23249999998
KFB07MB4HN9X,Gift Cards,,4.8,"721,690",718962.5
KFB07W7FLKRW,Toys & Games,2 penjual,4.7,"7,731",
KFB007YCMCIA,Toys & Games,16 yg jual,4.6,,143648.7075
KFB004INDQWY,Toys & Games,7 Penjual,4.6,,IDR 733197.9575
KFB01CW4CR4I,,3 yg jual,4.3,"16,340",575026.2075 rupiah
KF735211299,Books,1 yg jual,4.8,,IDR 172263.415
KFB085NRF1FR,,1 penjual,4.0,"7,571",158027.9575 rupiah
KFB01N1037CV,Video Games,49 penjual,4.9,,718099.745 Rupiah
KFB07TMN8CQ6,Gift Cards,1 Penjual,,"721,689",IDR 718962.5
KFB078WMVBXD,Camera & Photo,1 penjual,,"4,582",IDR 258682.7075
KFB0763VZ9Z7,Gift Cards,1 penjual,,"4,095",359481.25
KFB07WJS3QDX,Electronics,1 penjual,4.7,,2012951.2075 rupiah
KFB097ZMX6ZC,Toys & Games,1 penjual,4.4,,12653.74
KFB07CJWMX3C,"Clothing, Shoes & Jewelry",,4.6,"73,812",IDR 194119.875
KFB07FCJNX46,,2 penjual,4.4,935,IDR 1150196.2075
KFB00PYLU3GG,Toys & Games,6 yg jual,,"5,317",374867.0475 Rupiah
KFB00AR51Y5I,Gift Cards,1 penjual,4.9,,IDR 359481.25
KFB07B6NP36Q,Toys & Games,,4.3,"17,833",201021.915
KFB07N4DHFZM,,2 penjual,4.2,"17,011",IDR 271480.24
KFB08KRKY9BQ,Toys & Games,,4.7,"25,259",IDR 71752.4575
KFB071R1XTGS,"Clothing, Shoes & Jewelry",2 penjual,4.5,,257388.57499999998
KFB089D4BNRY,,2 yg jual,4.7,"1,125",244303.4575
KFB07D3P511R,Gift Cards,1 Penjual,4.8,"721,690",
KFB07CG4DYNH,Gift Cards,1 penjual,4.8,"721,690",
KFB089NLB7BH,"Clothing, Shoes & Jewelry",,4.4,"12,655",114890.2075 Rupiah
KFB086CBQD2M,Toys & Games,5 yg jual,,"1,824",287441.20749999996 rupiah
KFB07F15CV12,,1 penjual,4.8,"32,411",287441.20749999996 rupiah
KFB0916TKFF2,,9 yg jual,4.7,727,416998.25 rupiah
KFB07CXG6C9W,Electronics,1 penjual,4.6,"110,685",
KFB07W6PXRR8,Camera & Photo,4 Penjual,4.4,"3,013",
KFB07LFWD71T,Camera & Photo,4 penjual,,"2,939",790139.7875000001
KFB08BNVQDWT,Electronics,,4.6,"43,363",539221.875 rupiah
KFB000HTILV4,"Clothing, Shoes & Jewelry",2 yg jual,4.6,"58,537",
KFB0874YZVWK,,1 Penjual,4.6,"10,691",IDR 1581573.7075
KFB07ZSB9QYL,Gift Cards,,4.9,"12,187",IDR 359481.25
KFB07R2CNSTK,Toys & Games,4 Penjual,,"15,839",345102.0 rupiah
KFB07KL1WLG6,"Clothing, Shoes & Jewelry",,4.5,"59,521",157884.165 Rupiah
KF1400217075,,1 yg jual,4.7,259,263859.23750000005 rupiah
KFB06WD843ZM,Camera & Photo,6 yg jual,4.2,,330578.95749999996
KF399240462,Books,1 yg jual,,"20,547",IDR 71608.66500000001
KFB00000IV35,Toys & Games,54 Penjual,4.9,"15,592",
KFB08XW4QX52,"Clothing, Shoes & Jewelry",,4.6,"9,106",273061.95749999996 rupiah
KFB08PW4GGZN,Toys & Games,1 Penjual,4.7,,112589.5275
KFB00EB4ADQW,Electronics,32 Penjual,4.8,,190093.685 Rupiah
KFB01K8RMDO0,Gift Cards,,4.9,"62,352",359481.25
KFB07Q1GHB5X,,3 penjual,4.7,"11,314",357611.9475 rupiah
KFB08BNVQDWT,Electronics,,4.6,"43,363",539221.875
KFB08YMBQJ49,Electronics,,4.9,"1,575",4745008.7075000005 rupiah
KF593139135,Books,1 penjual,,"40,324",243728.28749999998
KFB07RM61WQ6,Camera & Photo,1 penjual,4.6,,IDR 1437781.2075
KFB07XP1619N,Camera & Photo,3 Penjual,4.3,422,
KFB07YQMVKY6,Toys & Games,45 yg jual,4.6,277,
KFB00IX1I3G6,Gift Cards,1 yg jual,,"313,938",718962.5 rupiah
KFB08YT2N5SX,Electronics,1 penjual,4.7,,718818.7075
KFB07WYVVY2Z,Gift Cards,,4.8,"91,384",IDR 718962.5
KFB084DCJKSL,Electronics,1 Penjual,4.7,,1869158.7075 Rupiah
KFB079JD7F7G,Electronics,,4.5,"50,866",833852.7075 rupiah
KFB01FIS88SY,Gift Cards,,4.8,"721,690",718962.5
KFB097H17CVQ,Toys & Games,1 penjual,,"21,435",86131.7075 rupiah
KFB01BCNZJ54,Video Games,4 penjual,4.6,,215544.9575 Rupiah
KFB086DKSHQ4,Electronics,1 yg jual,,"54,100",3594668.7075 rupiah
KFB07H4YQF3Q,,1 penjual,4.8,"31,328",IDR 215688.75
KFB0796JVBJ8,Toys & Games,4 Penjual,4.8,,252355.83750000002
KFB07PF1Y28C,Electronics,,4.7,"222,209",1150196.2075
KFB01CW4BVU4,,3 yg jual,4.3,"6,008",IDR 431233.70749999996
KFB07RRGWMYJ,"Clothing, Shoes & Jewelry",1 Penjual,,"12,645",287441.20749999996 Rupiah
KFB08DF248LD,,59 penjual,4.7,"11,875",704583.25 rupiah
KFB094H9X2VV,Toys & Games,1 Penjual,,"6,156",IDR 172407.2075
KFB07Y93TM8M,Gift Cards,,4.9,"74,543",143792.5 Rupiah
KFB09138R2XM,Toys & Games,,4.4,"2,437",273061.95749999996
KFB091TL7CCP,Toys & Games,1 Penjual,4.4,"10,140",
KFB07DJY81FP,,59 penjual,4.8,"19,902",IDR 718099.745
KFB086DKSYTS,Electronics,1 yg jual,,"54,100",1437781.2075
KFB0763VZ9Z7,Gift Cards,1 penjual,4.9,,IDR 359481.25
KFB07VGRJDFY,Video Games,214 yg jual,,"84,166",IDR 4313631.2075000005
KFB00X5TNSCA,Camera & Photo,4 penjual,4.5,,172263.415
KFB00PKNO7LK,,9 penjual,4.6,"21,781",357755.74 Rupiah
KFB07WNS1ZRY,"Clothing, Shoes & Jewelry",18 Penjual,4.6,"16,993",
KFB086DL32R3,Electronics,1 Penjual,4.4,"54,100",
KFB074T91QTZ,Gift Cards,1 Penjual,4.5,"25,340",
KFB08ZNQN1FP,Video Games,13 penjual,4.6,279,
KFB004LLIKVU,Gift Cards,1 Penjual,4.8,"721,690",
KFB08ZKYS7XT,Gift Cards,1 penjual,4.8,"721,690",
KFB007YCMCIA,Toys & Games,,4.6,"15,871",143648.7075
KFB01N3ASPNV,Video Games,,4.8,"87,346",86131.7075 Rupiah
KFB07MP6B4Y5,Gift Cards,1 penjual,4.8,"721,690",
KFB004DNVP8G,,2 yg jual,4.6,"44,546",172694.7925 Rupiah
KF62060627,Books,1 Penjual,4.7,,148825.2375
KF9387779262,,1 yg jual,4.6,"28,050",228054.905 rupiah
KFB0875Q5GVQ,,5 penjual,4.0,"2,408",718818.7075 rupiah
KF62315005,Books,1 penjual,4.7,"60,753",
KFB07W7FLKRW,,2 Penjual,4.7,"7,731",359481.25
KFB06ZYZ1TKK,Gift Cards,1 Penjual,,"7,247",718962.5 rupiah
KFB09197N995,,1 penjual,4.8,"9,121",129269.4575 rupiah
KFB07GF4JCDY,,8 yg jual,4.7,"14,042",558777.655
KFB071R1XTGS,"Clothing, Shoes & Jewelry",,4.5,"43,976",IDR 257388.57499999998
KFB06Y42G518,Video Games,1 penjual,4.1,"1,211",
KFB07CLMP15H,Gift Cards,1 Penjual,,"721,690",718962.5 rupiah
KFB07MF93X2Q,"Clothing, Shoes & Jewelry",1 Penjual,4.8,,718243.5375000001 Rupiah
KFB010KYDNDG,Video Games,1 penjual,4.7,"26,641",
KFB08PV15RGG,Camera & Photo,2 penjual,4.4,"5,629",
KFB07W95GZNH,,1 penjual,4.7,"854,114",IDR 503129.9575
KF1612680178,Books,1 penjual,4.7,"54,649",
KFB07YGZL8XF,Electronics,32 yg jual,4.8,,4270493.4575000005
KFB07FZ8S74R,Electronics,1 penjual,4.7,"854,114",
KFB093KXBQL4,,1 penjual,4.6,"25,201",IDR 143648.7075
KFB07TMNH4N1,Gift Cards,1 Penjual,4.8,"91,384",
KFB08J61NFNR,Electronics,6 penjual,4.9,"44,087",
KFB00000IV35,Toys & Games,54 yg jual,4.9,"15,592",
KFB07DGR98VQ,Electronics,,4.5,"67,379",546123.9149999999 Rupiah
KFB07MDQHZ7W,Gift Cards,,4.8,"721,689",718962.5
KFB08YSYKBLV,Electronics,1 Penjual,4.8,"78,639",
KFB093KXBQL4,Toys & Games,,4.6,"25,201",143648.7075 Rupiah
KFB07B8XTS3Z,Camera & Photo,,4.4,"5,159",1768503.9575 rupiah
KFB07Q3T177V,Electronics,1 yg jual,4.7,"32,046",
KFB07XV4NHHN,Video Games,,4.8,"22,209",690204.0 rupiah
KFB01FSCQ1IY,"Clothing, Shoes & Jewelry",5 Penjual,4.5,,281833.30000000005 rupiah
KFB009CAPYR8,Toys & Games,2 Penjual,,"14,213",301820.45749999996
KFB086FNYH28,Gift Cards,,4.8,"721,690",718962.5 Rupiah
KF1250080401,Books,1 yg jual,4.8,"70,597",
KFB07Y93TM8M,Gift Cards,,4.9,"74,543",143792.5 rupiah
KFB07GPFDL1K,Electronics,4 penjual,4.5,"17,939",
KFB078VVLQ6J,Toys & Games,108 yg jual,4.9,,1006403.7074999999
KFB08CVPYCPR,Camera & Photo,5 Penjual,4.2,,761956.4575 Rupiah
KFB08F6DWKQP,Electronics,,4.5,179,2588121.2075 Rupiah
KFB086VJN8RC,Camera & Photo,1 yg jual,4.2,"1,221",
KFB07W1HKYQK,Camera & Photo,1 Penjual,,"6,118",1437781.2075 Rupiah
KFB08JPHW2MZ,"Clothing, Shoes & Jewelry",1 yg jual,4.6,,196708.13999999998
KFB07SXLYQ6S,,16 Penjual,4.8,"13,958",186067.495 rupiah
KFB085WSCTS4,Electronics,,4.5,"3,695",4011810.75 Rupiah
KFB07PVMRZQH,Camera & Photo,7 yg jual,4.3,,603784.7075 Rupiah
KFB07CRSXMW8,Toys & Games,,4.8,"55,398",546267.7075
KFB08L3KS4FN,Camera & Photo,,4.1,"1,595",575026.2075 Rupiah
KF375813659,Books,1 penjual,,"13,455",57517.0 Rupiah
KFB07MVZZV3G,Electronics,,4.8,"39,828",373716.70749999996 Rupiah
KF1501110365,Books,1 Penjual,4.7,,175426.84999999998
KFB07HCZ7LPW,Video Games,,4.8,"16,562",IDR 704439.4575
KFB071FLSWBS,Toys & Games,6 penjual,4.6,"45,035",
KFB07XP1619N,Camera & Photo,3 penjual,4.3,,675680.9575 Rupiah
KFB01CETEZ78,Toys & Games,8 penjual,,"39,882",214682.20249999998
KFB08XW4QX52,"Clothing, Shoes & Jewelry",1 penjual,4.6,"9,106",
KFB016PARZEC,Gift Cards,1 yg jual,4.9,"3,490",
KFB082PN4WNT,"Clothing, Shoes & Jewelry",1 penjual,4.1,"7,726",
KFB073WLZFHP,,2 Penjual,4.9,"27,054",IDR 270329.9
KFB07RMC5BRL,Video Games,41 Penjual,4.4,"15,971",
KFB07D4T2XKB,Toys & Games,,4.8,"10,895",179596.8325 rupiah
KFB07Y693ND1,Video Games,22 penjual,,"26,056",375729.8025 Rupiah
KFB00N1QPNMA,Toys & Games,1 Penjual,,"11,947",157452.78749999998 rupiah
KFB00B73JOC4,Camera & Photo,,4.7,"3,080",IDR 1694019.4425000001
KFB07FCJNX46,Camera & Photo,2 penjual,4.4,,IDR 1150196.2075
KFB06WVJBVT4,Gift Cards,1 yg jual,,"62,352",359481.25 rupiah
KFB08YT2N5SX,Electronics,1 yg jual,4.7,,718818.7075 rupiah
KFB07PF1Y28C,,1 Penjual,4.7,"222,209",1150196.2075 Rupiah
KFB07CVL2D2S,,51 penjual,4.7,"42,694",1437781.2075 Rupiah
KFB088CK6GP1,,7 yg jual,5.0,1,718099.745 Rupiah
KFB016MAK38U,Video Games,19 penjual,4.4,"25,909",
KFB07PF1Y28C,Electronics,1 Penjual,4.7,"222,209",
KFB07WNS1ZRY,"Clothing, Shoes & Jewelry",18 penjual,4.6,,114890.2075 rupiah
